Qte_amostras	Percentual_qte	Media_qte	1	2	3	4	5	6	7	8	9	10
10	14,75	148	146	155	133	160	142	129	156	147	155	152
15	18,63	186	180	205	179	169	201	179	164	196	206	184
20	22,31	223	206	239	225	229	224	221	216	218	240	213
25	24,71	247	252	251	220	258	256	246	272	212	271	233
30	25,41	254	251	266	240	272	242	279	261	236	257	237
35	28,51	285	271	293	287	280	300	265	284	303	297	271
40	29,56	296	282	264	297	316	286	310	317	291	295	298
45	30,41	304	326	278	309	316	285	306	300	303	325	293
50	31,26	313	306	318	279	320	332	301	304	313	350	303
55	32,58	326	314	335	318	341	306	327	323	331	325	338
60	34,21	342	310	360	350	350	353	331	336	339	350	342
65	34,58	346	348	342	372	343	328	341	341	349	351	343
70	35,01	350	358	347	346	349	344	344	344	365	364	340
75	35,69	357	368	355	341	346	339	373	379	369	356	343
80	36	360	367	355	339	337	369	376	384	352	346	375
85	37,41	374	379	352	385	370	387	373	381	373	378	363
90	37,92	379	365	388	375	362	386	364	392	390	395	375
95	38,82	388	381	405	399	366	368	416	392	384	375	396
100	39,19	392	381	390	390	395	406	400	384	392	397	384
105	39,99	400	394	397	407	418	387	401	421	386	391	397
110	40,42	404	406	420	386	403	378	416	403	396	411	423
115	41,09	411	424	397	453	440	387	429	381	400	379	419
120	41,3	413	388	401	404	431	415	421	420	423	412	415
125	41,1	411	396	413	424	412	427	401	397	411	390	439
130	42,03	420	419	425	402	417	409	438	419	413	431	430
135	41,96	420	412	409	404	419	422	452	396	421	445	416
140	43,8	438	451	458	453	441	438	430	449	410	420	430
145	42,84	428	409	423	449	413	426	438	426	438	439	423
150	43,78	438	435	426	439	433	435	422	453	432	456	447
155	43,73	437	440	422	436	435	438	438	410	449	437	468
160	43,26	433	414	439	453	432	436	447	433	424	428	420
165	44,8	448	452	435	430	439	465	469	438	437	452	463
170	44,46	445	439	427	449	419	459	442	439	444	468	460
175	43,97	440	436	479	440	440	440	435	442	431	439	415
180	45,8	458	444	464	462	452	442	458	454	472	472	460
185	45,85	459	449	425	446	474	455	470	466	462	473	465
190	45,64	456	469	462	435	480	464	443	456	441	455	459
195	45,46	455	452	453	456	467	429	440	450	464	480	455
200	46,3	463	477	499	477	438	435	468	456	460	455	465
205	46,28	463	479	458	464	468	473	453	451	439	451	492
210	45,92	459	437	463	455	458	470	460	454	451	477	467
215	46,69	467	450	482	480	466	472	448	493	447	476	455
220	47,15	472	463	471	479	494	464	468	483	478	446	469
225	46,61	466	451	455	446	500	460	487	469	480	461	452
230	47,27	473	479	472	475	467	486	476	466	466	461	479
235	47,04	470	442	495	440	495	451	467	495	463	482	474
240	47,6	476	474	491	462	463	497	477	467	505	461	463
245	47,46	475	446	453	481	496	492	496	470	475	461	476
250	47,74	477	500	487	476	496	468	437	494	482	472	462
275	48,2	482	478	462	504	476	490	468	510	477	469	486
300	49,12	491	485	496	489	509	498	488	463	495	484	505
325	49,7	497	477	521	479	489	493	514	501	483	496	517
350	49,81	498	489	489	510	486	502	488	520	489	506	502
375	50,5	505	513	485	516	500	496	488	492	509	523	528
400	50,69	507	497	485	507	529	486	516	497	494	514	544
425	51,45	514	527	534	481	521	508	530	493	536	513	502
450	52,25	522	527	517	543	515	510	516	531	515	513	538
475	51,68	517	502	514	502	503	512	522	530	524	536	523
500	50,75	508	512	488	500	500	534	524	507	511	489	510
525	52,96	530	521	524	513	534	550	539	517	528	534	536
550	52,65	526	513	534	502	530	544	527	522	549	515	529
575	53,24	532	497	553	518	539	528	522	542	531	546	548
600	54,24	542	557	536	528	554	547	564	523	528	554	533
625	53,47	535	548	543	534	521	514	536	546	542	539	524
650	54,12	541	554	534	541	581	532	517	546	525	541	541
675	54,66	547	538	525	546	569	536	549	534	569	571	529
700	54,32	543	519	526	550	535	560	546	545	562	542	547
725	55,81	558	556	549	562	574	574	551	552	554	574	535
750	55,4	554	525	583	571	546	559	539	536	553	566	562
775	54,95	550	560	558	554	529	576	566	538	541	523	550
800	55,61	556	527	591	549	551	552	562	563	536	563	567
825	55,98	560	537	548	594	555	568	552	564	558	546	576
