Qte_amostras	Percentual_qte	Media_qte	1	2	3	4	5	6	7	8	9	10
10	13,75	138	136	150	134	148	128	138	120	148	137	136
15	14,6	146	136	147	137	145	166	145	153	147	150	134
20	17,7	177	193	172	186	188	162	164	169	181	164	191
25	19,22	192	171	211	176	199	192	189	220	192	185	187
30	21,08	211	215	216	207	188	213	221	210	218	214	206
35	24,72	247	252	247	250	236	249	242	245	248	261	242
40	25,21	252	253	253	234	249	238	259	276	256	250	253
45	27,19	272	276	279	288	245	269	279	284	275	257	267
50	29,06	291	287	293	305	302	271	282	285	297	298	286
55	30,87	309	310	295	312	293	310	313	307	310	316	321
60	31,43	314	305	309	321	313	302	317	284	334	310	348
65	32,15	322	297	341	314	316	342	303	338	314	314	336
70	34,72	347	333	329	347	361	349	373	329	353	361	337
75	34,42	344	297	328	347	368	343	345	383	348	346	337
80	36,99	370	386	365	358	372	367	361	375	378	365	372
85	37,39	374	390	385	365	361	361	382	367	367	388	373
90	38,07	381	387	396	354	377	373	369	375	394	391	391
95	39,57	396	380	383	427	368	380	406	396	407	399	411
100	39,51	395	375	399	403	399	402	367	414	392	406	394
105	40,28	403	404	405	397	397	424	406	407	411	398	379
110	41,19	412	400	428	437	408	412	397	410	407	412	408
115	42,61	426	418	463	420	430	416	411	414	450	416	423
120	43,09	431	439	421	414	425	427	441	437	429	444	432
125	42,87	429	416	414	434	417	437	441	421	426	436	445
130	42,83	428	430	417	425	418	443	432	423	435	428	432
135	43,89	439	460	439	429	438	433	433	429	438	450	440
140	44,94	449	445	440	468	455	460	464	455	422	447	438
145	44,87	449	478	470	456	434	466	422	436	423	452	450
150	44,86	449	446	467	466	427	464	431	439	455	466	425
155	46,49	465	473	471	456	475	452	465	476	467	454	460
160	45,57	456	460	435	440	448	494	441	459	479	466	435
165	47,43	474	453	479	464	477	488	466	460	478	489	489
170	46,5	465	457	448	486	454	461	458	471	463	480	472
175	47,44	474	486	459	480	482	466	467	474	453	495	482
180	47,2	472	484	463	473	456	477	492	459	462	466	488
185	47,44	474	468	478	474	484	483	476	469	475	502	435
190	48,43	484	476	473	489	459	493	484	500	487	500	482
195	49,21	492	490	483	510	490	492	461	500	525	484	486
200	48,3	483	476	510	508	466	482	475	497	443	478	495
205	49,47	495	480	484	498	514	487	523	494	494	499	474
210	47,43	474	458	477	480	469	475	468	467	459	483	507
215	49,42	494	503	497	499	507	463	503	487	482	493	508
220	49,75	498	495	495	492	498	499	474	490	509	500	523
225	49,76	498	502	496	490	492	481	487	512	481	519	516
230	49,65	497	484	536	469	511	505	501	539	479	456	485
235	49,38	494	490	476	504	504	468	523	487	492	472	522
240	50,15	502	506	501	490	522	501	491	519	509	491	485
245	50,12	501	516	490	517	499	509	476	513	514	477	501
250	50,52	505	495	490	512	511	523	507	515	514	493	492
275	51,75	518	528	520	521	529	509	491	530	503	501	543
300	52,88	529	522	521	530	535	547	532	537	516	518	530
325	52,67	527	533	557	541	534	528	497	500	542	528	507
350	53,03	530	519	533	545	559	525	535	503	531	526	527
375	53,42	534	533	558	521	547	510	519	531	570	514	539
400	54,17	542	529	508	532	540	549	540	553	561	553	552
425	54,91	549	556	547	553	560	551	545	532	538	565	544
450	54,46	545	544	527	591	556	544	549	541	524	549	521
475	55,46	555	564	500	556	569	535	576	549	545	585	567
500	54,32	543	561	531	527	563	554	546	511	552	550	537
525	55,75	558	557	545	558	551	533	568	556	554	577	576
550	55,47	555	559	533	576	528	587	572	534	547	539	572
575	55,61	556	561	559	557	574	550	545	580	576	535	524
600	55,81	558	529	567	561	568	544	555	549	565	563	580
625	56,11	561	562	555	564	545	570	569	566	561	571	548
650	56,27	563	559	577	547	571	576	553	582	542	580	540
675	56,27	563	571	542	562	560	575	563	597	544	573	540
700	55,7	557	568	563	580	569	557	558	557	563	543	512
725	57,12	571	590	564	577	569	556	576	583	582	576	539
750	56,93	569	552	553	580	555	576	584	573	565	561	594
775	57,28	573	576	574	565	562	549	596	570	596	565	575
800	57,53	575	573	604	562	576	569	564	573	566	577	589
825	57,81	578	586	596	591	582	564	584	586	574	544	574
850	58,05	581	536	614	599	578	600	572	587	569	576	574
875	57,52	575	600	562	598	566	585	572	571	551	586	561
900	58,22	582	577	575	593	575	585	569	593	589	586	580
925	57,49	575	558	578	574	591	575	577	590	579	542	585
950	57,94	579	566	564	588	609	557	583	593	575	568	591
975	58,54	585	566	605	585	572	579	583	600	600	593	571
1000	58,05	581	586	576	579	594	577	578	590	573	578	574
1025	58,37	584	564	579	600	577	588	585	576	598	586	584
1050	58,89	589	589	596	588	592	587	604	574	602	589	568
1075	58,91	589	594	573	591	580	604	615	587	565	587	595
1100	59,45	595	609	594	595	583	599	580	585	587	607	606
1125	59,04	590	598	598	602	608	551	598	569	589	601	590
1150	58,76	588	581	581	590	575	610	587	588	577	602	585
1175	59,91	599	578	632	619	572	594	612	609	599	585	591
1200	59,23	592	580	609	594	584	623	583	571	598	586	595
1225	58,98	590	589	613	587	595	580	581	578	581	593	601
1250	60,15	602	604	605	610	622	588	578	609	614	592	593
1275	59,49	595	583	627	569	599	574	573	622	606	589	607
1300	59,73	597	586	596	597	613	592	567	610	587	612	613
1325	60,59	606	632	611	620	579	630	592	582	613	606	594
1350	60,54	605	592	618	620	608	620	601	618	578	581	618
1375	60,4	604	588	615	586	617	589	617	593	627	609	599
1400	60,53	605	609	589	606	609	602	620	610	612	596	600
1425	60,44	604	605	611	625	616	594	638	593	598	595	569
1450	60,12	601	606	597	572	613	601	597	599	628	602	597
1475	59,94	599	594	605	619	609	586	596	569	602	620	594
1500	60,8	608	611	613	609	640	606	617	611	591	581	601
1550	61,11	611	630	595	602	632	617	613	605	609	621	587
1600	60,62	606	590	632	615	610	605	599	621	586	605	599
1650	62,33	623	620	624	616	631	609	644	604	636	618	631
1700	61,78	618	604	619	613	636	620	603	627	619	607	630
1750	62,08	621	624	636	613	649	616	625	599	602	626	618
1800	61,62	616	622	627	609	628	621	598	639	608	591	619
