Qte_amostras	Percentual_qte	Media_qte	1	2	3	4	5	6	7	8	9	10
10	13,79	138	138	147	137	145	156	139	116	143	139	119
15	17,1	171	168	161	164	176	179	192	165	165	180	160
20	21,01	210	202	207	228	219	198	210	215	204	215	203
25	24,11	241	252	248	231	225	243	238	244	256	248	226
30	26,08	261	240	284	236	256	257	256	283	246	268	282
35	28,74	287	298	293	314	253	284	290	272	282	285	303
40	30,23	302	298	285	311	309	333	309	276	298	295	309
45	31,29	313	321	289	280	309	315	333	333	318	306	325
50	32,32	323	321	338	329	337	328	327	308	309	313	322
55	34,13	341	375	350	342	353	316	339	337	354	321	326
60	35,8	358	363	384	337	366	366	365	364	367	312	356
65	36,08	361	373	359	355	366	369	350	382	318	350	386
70	36,94	369	376	383	374	357	402	363	356	361	363	359
75	38,1	381	396	375	387	390	425	374	381	362	368	352
80	39,35	394	387	400	388	401	383	410	396	398	406	366
85	40,03	400	411	403	400	379	404	403	419	409	392	383
90	39,82	398	405	405	405	391	387	425	378	402	391	393
95	41,05	410	411	412	411	408	385	402	418	431	415	412
100	40,24	402	407	427	386	401	420	401	405	405	377	395
105	41,99	420	432	415	395	436	416	427	431	418	414	415
110	42,89	429	428	446	432	421	418	428	428	409	417	462
115	42,75	428	410	417	417	427	422	457	424	426	438	437
120	44,65	446	458	450	465	415	444	459	460	464	425	425
125	43,64	436	452	442	410	427	447	412	443	457	416	458
130	43,54	435	427	450	433	452	449	435	428	440	419	421
135	44,35	444	435	442	426	437	457	477	471	440	434	416
140	44,63	446	435	463	455	466	455	435	450	418	456	430
145	45,68	457	436	489	442	480	458	470	449	451	448	445
150	46,39	464	425	440	458	489	483	482	460	455	491	456
155	45,59	456	481	469	458	463	458	443	443	449	457	438
160	46,56	466	500	453	441	445	467	463	483	495	453	456
165	46,59	466	467	457	468	475	457	464	467	470	465	469
170	47,24	472	487	488	460	479	464	467	484	471	485	439
175	47,13	471	469	447	485	515	442	502	463	470	470	450
180	47,23	472	475	440	482	477	474	482	471	462	479	481
185	47,58	476	480	506	480	470	465	476	470	451	458	502
190	48,51	485	502	464	465	461	495	505	508	477	471	503
195	47,99	480	476	470	498	487	497	467	472	485	505	442
200	47,14	471	479	509	461	453	480	467	451	471	470	473
205	48,64	486	478	484	452	485	478	482	518	510	470	507
210	48,78	488	512	494	481	485	488	495	475	483	473	492
215	48,79	488	489	479	481	504	457	489	487	485	492	516
220	49,57	496	488	497	470	494	521	505	477	499	507	499
225	49,37	494	476	463	509	500	488	499	491	508	519	484
230	48,51	485	487	503	472	473	475	492	494	494	484	477
235	50,13	501	522	508	489	523	501	513	497	496	472	492
240	49,51	495	467	515	474	490	487	527	491	501	483	516
245	50,25	502	508	497	520	495	509	489	484	521	507	495
250	49,87	499	495	505	482	507	465	505	498	510	538	482
275	51,34	513	506	502	498	508	526	527	539	524	506	498
300	51,56	516	510	527	506	466	521	508	503	534	554	527
325	52,17	522	516	527	513	526	532	531	525	516	523	508
350	52,51	525	516	519	517	536	518	537	510	528	539	531
375	52,76	528	527	513	538	516	529	514	544	537	514	544
400	53,74	537	541	508	530	537	554	511	548	554	549	542
425	53,96	540	529	515	540	547	548	556	550	528	548	535
450	54,73	547	548	524	547	555	552	535	562	540	554	556
475	54	540	536	520	535	543	544	562	551	549	547	513
500	54,49	545	531	526	567	545	564	538	561	551	509	557
525	55,54	555	513	555	536	552	562	569	546	566	562	593
550	54,86	549	515	551	548	539	556	574	567	549	554	533
575	56,81	568	565	571	551	586	579	593	546	560	557	573
600	55,99	560	544	553	550	598	566	539	556	547	554	592
625	56,38	564	579	565	573	550	561	548	561	579	559	563
650	56,12	561	559	533	578	543	568	572	561	580	559	559
675	56,56	566	547	565	572	585	575	570	554	543	560	585
700	57,01	570	568	568	558	575	566	570	615	578	566	537
725	56,77	568	572	575	579	574	552	553	591	544	582	555
750	57,34	573	567	575	579	576	561	544	580	592	596	564
775	57,91	579	607	562	550	576	586	571	574	588	591	586
800	57,38	574	583	589	595	559	580	554	560	565	577	576
825	57,42	574	573	571	609	568	565	575	574	582	556	569
850	57,89	579	593	565	596	571	588	556	578	572	601	569
875	58,15	582	561	600	590	559	598	574	565	602	576	590
900	57,84	578	576	555	602	572	561	613	580	570	591	564
925	58,67	587	582	563	606	585	601	607	571	595	577	580
950	58,41	584	573	599	590	567	589	588	551	604	595	585
975	60,2	602	582	632	607	599	612	598	617	598	593	582
1000	58,28	583	582	586	590	574	564	612	582	578	578	582
1025	58,81	588	589	585	599	583	544	594	605	613	566	603
1050	59,8	598	606	600	584	594	592	594	573	605	619	613
1075	59,59	596	621	590	588	617	574	558	583	594	618	616
1100	59,13	591	596	578	603	584	609	596	590	575	591	591
1125	59,5	595	603	598	591	584	574	620	604	587	591	598
1150	59,07	591	574	567	612	581	584	563	612	603	598	613
1175	60,48	605	602	602	580	640	567	613	613	627	622	582
1200	60,48	605	609	600	617	590	593	599	596	590	635	619
1225	60,35	604	609	606	617	618	596	606	598	618	562	605
1250	60,44	604	607	607	593	614	600	603	620	598	600	602
1275	60,1	601	591	605	587	596	591	630	611	597	601	601
1300	60,62	606	602	606	592	617	613	596	587	600	617	632
1325	60,49	605	616	609	593	596	592	601	605	618	623	596
1350	60,91	609	587	608	602	620	626	602	591	625	610	620
1375	60,82	608	603	617	606	619	591	585	601	609	628	623
1400	60,77	608	631	589	612	593	599	591	603	604	610	645
1425	61,01	610	589	625	592	608	602	623	619	647	585	611
1450	61,56	616	610	630	623	611	635	578	601	631	629	608
1475	61,39	614	624	609	621	623	589	627	615	642	594	595
1500	62,47	625	608	618	626	626	629	599	613	629	672	627
1550	61,18	612	611	611	617	611	622	617	615	602	620	592
1600	63,24	632	629	629	613	646	654	655	617	624	618	639
1650	62,96	630	612	639	623	643	594	633	643	631	645	633
1700	63,2	632	610	629	625	653	619	637	643	644	625	635
1750	62,93	629	607	634	613	607	646	645	652	617	656	616
1800	62,62	626	623	633	617	634	603	631	626	652	642	601
1850	62,97	630	622	646	632	625	613	617	645	632	620	645
1900	63,06	631	632	635	607	627	635	617	622	663	626	642
1950	63,21	632	638	613	633	657	642	626	620	642	644	606
2000	63,26	633	641	628	634	632	616	632	618	643	652	630
2050	63,71	637	614	646	614	644	639	677	642	613	622	660
2100	63,59	636	646	649	632	648	635	644	638	600	618	649
2150	63,97	640	657	656	644	630	654	614	638	624	630	650
2200	64,4	644	636	637	651	641	644	656	638	650	622	665
2250	65,24	652	663	656	659	640	651	644	658	638	665	650
2300	64,42	644	651	617	656	654	654	635	659	641	628	647
2350	65,25	652	662	646	639	649	636	646	667	661	652	667
2400	64,44	644	632	655	649	671	659	637	642	623	643	633
2450	65,29	653	640	658	681	648	646	646	665	664	629	652
2500	65,67	657	659	643	658	645	653	687	665	657	642	658
2550	65,16	652	651	667	669	654	642	649	649	656	648	631
2600	65,53	655	655	663	663	632	655	661	669	647	662	646
2650	65,64	656	675	636	625	664	649	688	685	659	629	654
2700	65,83	658	650	628	660	649	679	641	672	661	657	686
2750	67,15	672	668	648	670	673	677	690	660	675	675	679
2800	66,55	666	675	653	653	659	657	669	656	679	661	693
2850	66,87	669	657	666	655	669	693	671	654	658	693	671
2900	67,69	677	647	673	668	695	691	699	679	659	665	693
2950	68,01	680	691	693	653	688	660	695	677	683	682	679
3000	66,86	669	641	661	661	683	679	680	651	689	671	670
3050	66,61	666	670	660	669	695	649	667	660	668	661	662
3100	67,84	678	702	652	674	676	660	653	671	679	728	689
3150	67,59	676	689	677	671	706	672	644	657	671	676	696
3200	67,53	675	669	664	689	671	702	680	686	659	682	651
3250	67,54	675	673	717	674	654	689	662	659	662	700	664
3300	67,84	678	695	666	697	676	683	658	682	660	679	688
3350	68,07	681	673	723	658	692	661	643	686	687	689	695
3400	69,21	692	693	704	680	694	678	673	694	702	718	685
3450	68,24	682	696	660	707	698	675	691	692	659	678	668
3500	68,88	689	689	684	689	695	695	701	657	696	680	702
3550	68,89	689	709	664	689	659	693	710	707	689	673	696
3600	69,32	693	685	690	683	703	693	692	716	699	692	679
3650	69,39	694	688	689	695	697	681	743	687	685	683	691
3700	68,73	687	691	662	676	693	671	677	708	714	672	709
3750	68,4	684	688	669	662	692	696	700	652	715	687	679
3800	69,2	692	653	689	695	694	683	702	716	706	702	680
3850	69,11	691	706	690	692	713	682	680	678	690	688	692
3900	69,28	693	689	700	692	656	680	709	710	696	685	711
